datetime,temp_avg,humidity,rain,area
2015-1-10 0:00,15.4,54,0,Area1
2015-1-10 0:15,15.4,54,0,Area1
2015-1-10 0:30,15.4,54,0,Area1
2015-1-10 0:45,15.4,54,0,Area1
2015-1-10 1:00,15.4,54,0,Area1
2015-1-10 1:15,15.4,54,0,Area1
2015-1-10 1:30,15.4,54,0,Area1
2015-1-10 1:45,15.4,54,0,Area1
2015-1-10 2:00,15.4,54,0,Area1
2015-1-10 2:15,15.4,54,0,Area1
2015-1-10 2:30,15.4,54,0,Area1
2015-1-10 2:45,15.4,54,0,Area1
2015-1-10 3:00,15.4,54,0,Area1
2015-1-10 3:15,15.4,54,0,Area1
2015-1-10 3:30,15.4,54,0,Area1
2015-1-10 3:45,15.4,54,0,Area1
2015-1-10 4:00,15.4,54,0,Area1
2015-1-10 4:15,15.4,54,0,Area1
2015-1-10 4:30,15.4,54,0,Area1
2015-1-10 4:45,15.4,54,0,Area1
2015-1-10 5:00,15.4,54,0,Area1
2015-1-10 5:15,15.4,54,0,Area1
2015-1-10 5:30,15.4,54,0,Area1
2015-1-10 5:45,15.4,54,0,Area1
2015-1-10 6:00,15.4,54,0,Area1
2015-1-10 6:15,15.4,54,0,Area1
2015-1-10 6:30,15.4,54,0,Area1
2015-1-10 6:45,15.4,54,0,Area1
2015-1-10 7:00,15.4,54,0,Area1
2015-1-10 7:15,15.4,54,0,Area1
2015-1-10 7:30,15.4,54,0,Area1
2015-1-10 7:45,15.4,54,0,Area1
2015-1-10 8:00,15.4,54,0,Area1
2015-1-10 8:15,15.4,54,0,Area1
2015-1-10 8:30,15.4,54,0,Area1
2015-1-10 8:45,15.4,54,0,Area1
2015-1-10 9:00,15.4,54,0,Area1
2015-1-10 9:15,15.4,54,0,Area1
2015-1-10 9:30,15.4,54,0,Area1
2015-1-10 9:45,15.4,54,0,Area1
2015-1-10 10:00,15.4,54,0,Area1
2015-1-10 10:15,15.4,54,0,Area1
2015-1-10 10:30,15.4,54,0,Area1
2015-1-10 10:45,15.4,54,0,Area1
2015-1-10 11:00,15.4,54,0,Area1
2015-1-10 11:15,15.4,54,0,Area1
2015-1-10 11:30,15.4,54,0,Area1
2015-1-10 11:45,15.4,54,0,Area1
2015-1-10 12:00,15.4,54,0,Area1
2015-1-10 12:15,15.4,54,0,Area1
2015-1-10 12:30,15.4,54,0,Area1
2015-1-10 12:45,15.4,54,0,Area1
2015-1-10 13:00,15.4,54,0,Area1
2015-1-10 13:15,15.4,54,0,Area1
2015-1-10 13:30,15.4,54,0,Area1
2015-1-10 13:45,15.4,54,0,Area1
2015-1-10 14:00,15.4,54,0,Area1
2015-1-10 14:15,15.4,54,0,Area1
2015-1-10 14:30,15.4,54,0,Area1
2015-1-10 14:45,15.4,54,0,Area1
2015-1-10 15:00,15.4,54,0,Area1
2015-1-10 15:15,15.4,54,0,Area1
2015-1-10 15:30,15.4,54,0,Area1
2015-1-10 15:45,15.4,54,0,Area1
2015-1-10 16:00,15.4,54,0,Area1
2015-1-10 16:15,15.4,54,0,Area1
2015-1-10 16:30,15.4,54,0,Area1
2015-1-10 16:45,15.4,54,0,Area1
2015-1-10 17:00,15.4,54,0,Area1
2015-1-10 17:15,15.4,54,0,Area1
2015-1-10 17:30,15.4,54,0,Area1
2015-1-10 17:45,15.4,54,0,Area1
2015-1-10 18:00,15.4,54,0,Area1
2015-1-10 18:15,15.4,54,0,Area1
2015-1-10 18:30,15.4,54,0,Area1
2015-1-10 18:45,15.4,54,0,Area1
2015-1-10 19:00,15.4,54,0,Area1
2015-1-10 19:15,15.4,54,0,Area1
2015-1-10 19:30,15.4,54,0,Area1
2015-1-10 19:45,15.4,54,0,Area1
2015-1-10 20:00,15.4,54,0,Area1
2015-1-10 20:15,15.4,54,0,Area1
2015-1-10 20:30,15.4,54,0,Area1
2015-1-10 20:45,15.4,54,0,Area1
2015-1-10 21:00,15.4,54,0,Area1
2015-1-10 21:15,15.4,54,0,Area1
2015-1-10 21:30,15.4,54,0,Area1
2015-1-10 21:45,15.4,54,0,Area1
2015-1-10 22:00,15.4,54,0,Area1
2015-1-10 22:15,15.4,54,0,Area1
2015-1-10 22:30,15.4,54,0,Area1
2015-1-10 22:45,15.4,54,0,Area1
2015-1-10 23:00,15.4,54,0,Area1
2015-1-10 23:15,15.4,54,0,Area1
2015-1-10 23:30,15.4,54,0,Area1
2015-1-10 23:45,15.4,54,0,Area1
